dog_id,dog_id_link,registered_name,registered_name_link,call_name,registration_#,whelp_date,deceased,dna_reg_#,cert_test_by,tested,cert_#___report_#,findings,test_date,total_dogs_in_pedigree:,3,oldest_generation:,0,529,9,pct_blood,occurs
57827,Dog_Detail?DogID=57827,GWEEBARRA IMPORT A DREAM,Dog_Detail?DogID=57827,,"WS25715802 (AKC), 1108360 (CKC)","Feb 25, 2008",,,,,,,,,,,,,,,
57830,Dog_Detail?DogID=57830,GWEEBARRA KISMET BELLA RAGAZZA,Dog_Detail?DogID=57830,BELLA,WS25715805 (AKC),"Feb 25, 2008","Jun 5, 2016",,,,,,,,,,,,,,
57826,Dog_Detail?DogID=57826,GWEEBARRA-N-SKYLYN'S KUE DEE,Dog_Detail?DogID=57826,KUE DEE,WS25715801 (AKC),"Feb 25, 2008","Feb 25, 2014",V541133 (AKC),,,,,,,,,,,,,
15528,Dog_Detail?DogID=15528,GWEEBARRA'S 02/17/95-03,Dog_Detail?DogID=15528,,WP61609003 (AKC),"Feb 17, 1995",,,,,,,,,,,,,,,
15531,Dog_Detail?DogID=15531,GWEEBARRA'S 02/17/95-06,Dog_Detail?DogID=15531,COLBY,WP61609006 (AKC),"Feb 17, 1995",,,,,,,,,,,,,,,
52587,Dog_Detail?DogID=52587,GWEEBARRA'S 02/24/98-01,Dog_Detail?DogID=52587,LUCKY,(AKC),"Feb 24, 1998","May 10, 1998",,,,,,,,,,,,,,
52591,Dog_Detail?DogID=52591,GWEEBARRA'S 02/24/98-05,Dog_Detail?DogID=52591,DENALI,(AKC),"Feb 24, 1998",Yes-no date,,,,,,,,,,,,,,
12265,Dog_Detail?DogID=12265,GWEEBARRA'S ABOUT TIME,Dog_Detail?DogID=12265,MINIT,WP51259116 (AKC),"Oct 11, 1993","Sep 15, 1994",,,,,,,,,,,,,,
10813,Dog_Detail?DogID=10813,GWEEBARRA'S ACE IN THE HOLE,Dog_Detail?DogID=10813,ACE,WP51259114 (AKC),"Oct 11, 1993","Mar 26, 2001",,,,,,,,,,,,,,
12262,Dog_Detail?DogID=12262,GWEEBARRA'S ALPINE THUNDER,Dog_Detail?DogID=12262,BOOMER,WP51259115 (AKC),"Oct 11, 1993","Nov 30, 1998",,,,,,,,,,,,,,
12263,Dog_Detail?DogID=12263,GWEEBARRA'S ANNA MARIE,Dog_Detail?DogID=12263,LUCY,WP51259118 (AKC),"Oct 11, 1993",,,,,,,,,,,,,,,
15529,Dog_Detail?DogID=15529,GWEEBARRAS BERNIN COLBY,Dog_Detail?DogID=15529,,WP61609004 (AKC),"Feb 17, 1995",,,,,,,,,,,,,,,
15532,Dog_Detail?DogID=15532,GWEEBARRA'S BERNIN JACK,Dog_Detail?DogID=15532,,WP61609007 (AKC),"Feb 17, 1995",,,,,,,,,,,,,,,
15527,Dog_Detail?DogID=15527,GWEEBARRA'S BINKY WEIL,Dog_Detail?DogID=15527,,WP61609001 (AKC),"Feb 17, 1995","Jun 30, 2001",,,,,,,,,,,,,,
15530,Dog_Detail?DogID=15530,GWEEBARRAS BOLD BYRON,Dog_Detail?DogID=15530,,WP61609005 (AKC),"Feb 17, 1995",,,,,,,,,,,,,,,
